id,kastid,beginperiode,eindperiode,gemeente,straat,latitude,longitude,snelheidslimiet,vrachtwagenvrijezone,snelheid,tijd,overschreden,type
198,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,65,2023-12-06 09:23:23,1,Truck
199,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,67,2023-12-03 07:05:27,0,Car
200,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,61,2023-12-04 21:15:47,1,Bycicle
201,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,56,2023-12-06 12:59:35,1,Car
202,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,70,2023-12-03 10:06:40,1,Motorcycle
203,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,35,2023-12-02 12:32:59,0,Motorcycle
204,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,68,2023-12-07 20:30:29,1,Bycicle
205,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,46,2023-12-02 20:01:03,0,Truck
206,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,38,2023-12-05 06:11:02,0,Bycicle
207,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,65,2023-12-06 17:47:50,0,Car
208,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,39,2023-12-02 21:10:02,0,Bycicle
209,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,65,2023-12-03 14:23:40,0,Truck
210,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,54,2023-12-01 00:10:14,1,Car
211,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,60,2023-12-04 23:11:41,1,Truck
212,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,43,2023-12-01 00:40:16,0,Bycicle
213,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,56,2023-12-03 16:58:33,1,Truck
214,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,37,2023-12-02 17:15:28,0,Motorcycle
215,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,46,2023-12-03 05:58:20,0,Car
216,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,71,2023-12-01 08:34:18,1,Truck
217,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,58,2023-12-06 16:05:27,0,Motorcycle
218,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,75,2023-12-05 05:46:58,1,Car
219,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,61,2023-12-07 12:02:40,0,Car
220,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,70,2023-12-05 20:13:51,0,Bycicle
221,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,35,2023-12-05 12:28:50,0,Motorcycle
222,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,38,2023-12-01 03:15:00,0,Bus
223,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,28,2023-12-01 22:31:52,0,Bus
224,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,29,2023-12-04 02:58:46,0,Truck
225,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,66,2023-12-04 16:54:23,1,Truck
226,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,77,2023-12-07 19:49:33,1,Car
227,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,40,2023-12-02 13:14:35,1,Bus
228,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,75,2023-12-01 05:58:16,1,Bus
229,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,56,2023-12-06 12:36:54,1,Bycicle
230,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,51,2023-12-04 17:43:38,1,Truck
231,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,42,2023-12-07 23:18:44,0,Car
232,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,73,2023-12-07 23:21:25,1,Truck
233,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,80,2023-12-05 03:48:32,1,Motorcycle
234,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,43,2023-12-02 06:15:45,1,Car
235,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,34,2023-12-04 23:24:51,0,Motorcycle
236,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,43,2023-12-06 09:07:09,0,Bus
237,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,79,2023-12-02 14:45:30,1,Bus
238,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,33,2023-12-02 02:25:57,0,Motorcycle
239,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,38,2023-12-04 20:49:58,0,Motorcycle
240,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,59,2023-12-04 03:29:57,0,Bus
241,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,54,2023-12-04 19:33:46,0,Car
242,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,53,2023-12-06 18:44:40,1,Bus
243,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,43,2023-12-07 17:21:47,0,Bycicle
244,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,80,2023-12-03 14:32:53,1,Motorcycle
245,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,49,2023-12-02 08:07:13,0,Motorcycle
246,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,68,2023-12-03 02:39:57,0,Truck
247,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,34,2023-12-04 15:24:26,1,Bycicle
248,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,64,2023-12-05 20:24:45,0,Bus
249,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,48,2023-12-07 07:42:51,0,Bus
250,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,57,2023-12-03 23:19:35,0,Truck
251,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,39,2023-12-01 17:18:57,0,Bycicle
252,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,46,2023-12-06 10:52:46,1,Car
253,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,74,2023-12-03 04:04:02,1,Bycicle
254,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,49,2023-12-01 04:43:51,0,Truck
255,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,29,2023-12-06 22:08:09,0,Bycicle
256,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,60,2023-12-03 18:41:47,0,Truck
257,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,49,2023-12-07 19:14:42,1,Truck
258,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,49,2023-12-03 19:42:38,1,Bycicle
259,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,73,2023-12-05 01:07:21,1,Car
260,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,25,2023-12-02 19:08:11,0,Bycicle
261,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,44,2023-12-02 08:47:11,0,Motorcycle
262,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,48,2023-12-01 15:45:14,1,Truck
263,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,73,2023-12-06 11:49:38,1,Bycicle
264,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,55,2023-12-03 04:56:36,0,Bycicle
265,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,65,2023-12-07 11:45:31,1,Car
266,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,30,2023-12-07 01:27:17,0,Motorcycle
267,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,37,2023-12-03 17:19:04,1,Bycicle
268,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,75,2023-12-05 19:43:51,1,Bycicle
269,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,34,2023-12-01 16:56:18,0,Truck
270,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,46,2023-12-03 12:41:52,1,Truck
271,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,53,2023-12-06 16:21:02,0,Car
272,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,35,2023-12-03 12:54:34,1,Bus
273,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,65,2023-12-06 17:44:01,0,Bus
274,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,27,2023-12-02 18:32:37,0,Bus
275,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,74,2023-12-07 23:09:12,1,Bus
276,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,30,2023-12-04 23:49:29,0,Bycicle
277,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,76,2023-12-01 10:12:44,1,Car
278,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,39,2023-12-03 04:05:10,1,Motorcycle
279,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,51,2023-12-04 17:14:20,0,Bus
280,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,50,2023-12-07 06:08:19,1,Car
281,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,52,2023-12-05 20:54:37,1,Car
282,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,39,2023-12-02 05:16:32,0,Motorcycle
283,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,36,2023-12-04 18:40:23,0,Truck
284,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,59,2023-12-07 23:08:24,1,Motorcycle
285,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,52,2023-12-06 22:49:20,1,Bus
286,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,39,2023-12-01 19:33:47,0,Bycicle
287,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,61,2023-12-03 09:22:51,1,Car
288,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,67,2023-12-02 21:18:25,1,Motorcycle
289,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,29,2023-12-01 20:20:23,0,Bycicle
290,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,49,2023-12-05 02:34:26,0,Car
291,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,48,2023-12-07 01:45:09,0,Bus
292,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,47,2023-12-04 10:59:36,1,Car
293,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,70,2023-12-05 07:23:39,1,Bycicle
294,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,40,2023-12-03 20:17:26,0,Motorcycle
295,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,26,2023-12-02 20:58:13,0,Bycicle
296,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,70,2023-12-01 18:04:31,1,Bus
297,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,29,2023-12-06 06:02:23,0,Truck
298,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,72,2023-12-01 05:30:22,1,Truck
299,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,33,2023-12-05 15:06:24,0,Car
300,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,57,2023-12-06 01:52:32,0,Car
301,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,68,2023-12-01 22:12:43,0,Motorcycle
302,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,80,2023-12-01 23:48:04,1,Bycicle
303,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,38,2023-12-02 15:26:48,1,Car
304,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,65,2023-12-06 01:27:33,0,Truck
305,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,71,2023-12-06 03:20:55,1,Truck
306,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,57,2023-12-01 17:46:09,1,Car
307,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,37,2023-12-06 02:47:30,0,Truck
308,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,50,2023-12-05 16:41:49,1,Bus
309,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,53,2023-12-03 22:15:56,0,Truck
310,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,55,2023-12-04 20:42:30,1,Bus
311,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,27,2023-12-01 11:50:24,0,Car
312,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,73,2023-12-04 12:45:41,1,Car
313,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,28,2023-12-05 21:29:47,0,Car
314,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,30,2023-12-03 02:26:40,0,Motorcycle
315,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,48,2023-12-05 12:52:47,0,Bus
316,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,53,2023-12-04 02:36:55,1,Bycicle
317,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,43,2023-12-03 23:02:32,0,Truck
318,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,27,2023-12-02 19:48:17,0,Car
319,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,30,2023-12-07 09:01:26,0,Motorcycle
320,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,77,2023-12-02 09:41:43,1,Bycicle
321,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,74,2023-12-03 19:54:28,1,Bycicle
322,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,50,2023-12-05 14:15:42,0,Truck
323,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,50,2023-12-01 07:28:03,1,Truck
324,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,75,2023-12-02 14:44:40,1,Bus
325,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,60,2023-12-05 11:29:25,1,Motorcycle
326,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,62,2023-12-06 22:32:18,1,Motorcycle
327,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,78,2023-12-02 14:15:40,1,Bycicle
328,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,75,2023-12-07 17:33:40,1,Bus
329,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,52,2023-12-04 17:39:34,0,Motorcycle
330,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,68,2023-12-02 02:53:52,1,Bus
331,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,68,2023-12-01 05:17:42,1,Motorcycle
332,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,36,2023-12-04 20:44:30,0,Motorcycle
333,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,69,2023-12-06 19:24:08,1,Motorcycle
334,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,43,2023-12-05 18:39:22,0,Car
335,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,29,2023-12-02 10:13:44,0,Motorcycle
336,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,40,2023-12-04 19:26:23,0,Bus
337,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,77,2023-12-07 03:43:33,1,Motorcycle
338,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,62,2023-12-05 20:35:00,1,Bus
339,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,51,2023-12-06 12:21:55,0,Truck
340,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,71,2023-12-03 10:00:29,1,Truck
341,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,35,2023-12-05 08:46:59,0,Car
342,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,31,2023-12-03 13:25:36,1,Bus
343,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,28,2023-12-01 03:55:03,0,Bus
344,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,30,2023-12-06 03:34:14,0,Bus
345,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,64,2023-12-03 17:46:04,1,Truck
346,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,33,2023-12-06 04:40:36,0,Car
347,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,51,2023-12-07 05:32:58,1,Bus
348,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,58,2023-12-06 17:38:00,1,Truck
349,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,61,2023-12-07 13:48:23,1,Truck
350,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,58,2023-12-02 05:16:25,1,Truck
351,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,49,2023-12-06 03:01:37,0,Bus
352,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,37,2023-12-05 05:29:23,0,Bycicle
353,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,61,2023-12-05 07:30:39,1,Car
354,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,39,2023-12-05 08:34:32,0,Car
355,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,75,2023-12-06 22:10:26,1,Bycicle
356,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,63,2023-12-01 17:39:31,0,Bus
357,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,78,2023-12-07 21:59:44,1,Car
358,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,72,2023-12-05 18:42:37,1,Motorcycle
359,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,65,2023-12-07 23:04:42,0,Bycicle
360,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,31,2023-12-05 06:49:32,0,Bus
361,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,76,2023-12-04 05:54:05,1,Bus
362,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,31,2023-12-03 09:41:37,1,Bus
363,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,49,2023-12-04 03:31:24,1,Bycicle
364,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,44,2023-12-07 21:10:59,1,Bycicle
365,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,42,2023-12-07 06:46:36,1,Bus
366,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,47,2023-12-04 17:53:43,0,Motorcycle
367,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,42,2023-12-03 13:48:53,1,Bus
368,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,46,2023-12-03 08:19:59,0,Bycicle
369,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,33,2023-12-07 22:37:47,0,Bycicle
370,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,56,2023-12-01 04:06:30,1,Motorcycle
371,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,72,2023-12-06 11:12:05,1,Car
372,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,57,2023-12-01 15:12:49,1,Motorcycle
373,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,67,2023-12-01 11:02:45,0,Truck
374,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,45,2023-12-02 08:01:37,0,Bycicle
375,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,73,2023-12-01 22:10:42,1,Bycicle
376,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,64,2023-12-06 00:25:25,1,Bus
377,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,70,2023-12-01 21:43:07,0,Truck
378,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,31,2023-12-05 04:16:39,0,Bycicle
379,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,75,2023-12-02 16:30:29,1,Motorcycle
380,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,27,2023-12-04 19:01:56,0,Motorcycle
381,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,42,2023-12-06 14:28:48,1,Car
382,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,63,2023-12-04 03:39:54,1,Truck
383,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,79,2023-12-03 00:02:00,1,Truck
384,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,67,2023-12-04 06:22:08,1,Bus
385,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,52,2023-12-04 14:50:31,1,Car
386,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,79,2023-12-04 16:24:18,1,Bus
387,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,79,2023-12-01 15:35:37,1,Motorcycle
388,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,64,2023-12-07 11:30:45,1,Car
389,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,77,2023-12-06 00:50:55,1,Motorcycle
390,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,69,2023-12-04 19:39:32,1,Bycicle
391,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,78,2023-12-04 21:32:53,1,Bycicle
392,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,77,2023-12-07 00:24:48,1,Car
393,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,53,2023-12-05 17:35:58,1,Bus
394,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,30,2023-12-04 12:03:06,0,Car
395,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,34,2023-12-02 02:44:02,1,Bycicle
